City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Yerbogachen,RU,2022-02-12 19:55:12,61.2767,108.0108,-19.59,100,97,1.68
107,Ahmadpur,IN,2022-02-12 19:55:12,18.7,76.9333,67.75,28,94,6.98
108,Guerrero Negro,MX,2022-02-12 19:55:12,27.9769,-114.0611,74.5,29,100,2.95
109,Galbshtadt,RU,2022-02-12 19:55:13,53.2264,78.9845,7.34,95,100,11.39
110,Port Moresby,PG,2022-02-12 19:50:31,-9.4431,147.1797,71.02,94,20,3.44
111,San Patricio,US,2022-02-12 19:55:13,28.017,-97.5169,71.69,65,100,25.95
112,Hermanus,ZA,2022-02-12 19:55:13,-34.4187,19.2345,68.81,84,100,3.49
113,Ust-Ishim,RU,2022-02-12 19:55:14,57.6935,71.1665,1.06,95,100,7.18
114,Dickinson,US,2022-02-12 19:55:14,29.4608,-95.0513,60.75,71,100,25.32
115,Shieli,KZ,2022-02-12 19:55:14,44.1667,66.75,32.83,83,100,6.62
116,Chuy,UY,2022-02-12 19:55:14,-33.6971,-53.4616,68.36,97,100,8.1
117,Berlevag,NO,2022-02-12 19:55:15,70.8578,29.0864,24.8,79,66,21.68
118,Port Hedland,AU,2022-02-12 19:53:37,-20.3167,118.5667,84.25,89,19,5.75
119,Thompson,CA,2022-02-12 19:55:15,55.7435,-97.8558,-7.44,54,0,8.05
120,Punta Arenas,CL,2022-02-12 19:51:58,-53.15,-70.9167,57.31,44,40,35.68
121,Nikolskoye,RU,2022-02-12 19:55:15,59.7035,30.7861,34.88,97,100,11.92
122,Wentzville,US,2022-02-12 19:53:51,38.8114,-90.8529,27.82,60,37,5.99
123,Puerto Baquerizo Moreno,EC,2022-02-12 19:55:16,-0.9,-89.6,83.39,65,20,11.5
124,Lebu,CL,2022-02-12 19:55:16,-37.6167,-73.65,67.35,61,25,11.36
125,Remanso,BR,2022-02-12 19:55:16,-9.6179,-42.0831,82.36,61,92,5.7
126,Buala,SB,2022-02-12 19:55:17,-8.145,159.5921,78.39,82,100,2.1
127,Cururupu,BR,2022-02-12 19:55:17,-1.8283,-44.8683,78.42,88,97,4.74
128,Knysna,ZA,2022-02-12 19:55:17,-34.0363,23.0471,70.18,91,83,3.87
129,Ozernovskiy,RU,2022-02-12 19:55:18,51.5,156.5167,19.24,75,7,2.82
130,Victoria,HK,2022-02-12 19:52:45,22.2855,114.1577,65.25,88,97,8.99
131,Hamilton,US,2022-02-12 19:51:02,39.1834,-84.5333,31.75,78,100,12.66
132,Datong,CN,2022-02-12 19:55:18,40.0936,113.2914,21.42,64,100,5.53
133,Maceio,BR,2022-02-12 19:50:47,-9.6658,-35.7353,87.24,62,0,18.41
134,Ano Mera,GR,2022-02-12 19:55:18,37.45,25.4,57.27,66,100,5.57
135,Pisco,PE,2022-02-12 19:54:52,-13.7,-76.2167,76.01,60,0,11.5
136,Mar Del Plata,AR,2022-02-12 19:53:45,-38.0023,-57.5575,64.42,67,40,18.41
137,Port Blair,IN,2022-02-12 19:55:19,11.6667,92.75,77.04,78,20,3.44
138,Palauig,PH,2022-02-12 19:55:19,15.435,119.9045,78.3,69,97,2.98
139,Majene,ID,2022-02-12 19:56:19,-3.5403,118.9707,75.29,85,100,6.53
140,Ahipara,NZ,2022-02-12 19:56:20,-35.1667,173.1667,66.22,85,100,23.13
141,Chimbote,PE,2022-02-12 19:56:20,-9.0853,-78.5783,75.7,70,97,10.8
142,Vila Do Maio,CV,2022-02-12 19:56:20,15.1333,-23.2167,75.99,71,86,19.53
143,Pochinok,RU,2022-02-12 19:56:21,54.4068,32.4407,22.71,90,20,13.0
144,Darhan,MN,2022-02-12 19:56:21,49.4867,105.9228,-18.02,100,98,1.19
145,Iqaluit,CA,2022-02-12 19:56:21,63.7506,-68.5145,-22.27,57,40,0.0
146,San Juan,AR,2022-02-12 19:55:17,-31.5375,-68.5364,74.07,19,14,4.68
147,Mangaratiba,BR,2022-02-12 19:56:21,-22.9597,-44.0406,79.93,85,70,4.72
148,Alice Springs,AU,2022-02-12 19:56:22,-23.7,133.8833,58.55,77,0,5.75
149,Bredasdorp,ZA,2022-02-12 19:56:22,-34.5322,20.0403,68.29,79,100,2.51
150,Beidao,CN,2022-02-12 19:56:22,34.5686,105.8933,30.29,93,11,3.69
151,Bandarbeyla,SO,2022-02-12 19:56:23,9.4942,50.8122,76.06,68,100,13.49
152,Redlands,US,2022-02-12 19:51:29,34.0556,-117.1825,85.5,14,0,1.01
153,Savalou,BJ,2022-02-12 19:56:23,7.9281,1.9756,89.76,39,100,9.24
154,Zhenlai,CN,2022-02-12 19:56:23,45.8495,123.2973,-11.97,99,17,2.13
155,Honningsvag,NO,2022-02-12 19:55:58,70.9821,25.9704,24.33,62,100,22.21
156,Okha,RU,2022-02-12 19:56:23,53.5739,142.9478,5.95,94,89,7.43
157,Dalnerechensk,RU,2022-02-12 19:56:24,45.9339,133.7225,-8.07,99,49,6.04
158,Yulara,AU,2022-02-12 19:56:24,-25.2406,130.9889,69.64,43,0,6.91
159,Kattivakkam,IN,2022-02-12 19:56:24,13.2167,80.3167,80.08,78,6,8.21
160,Okhotsk,RU,2022-02-12 19:51:47,59.3833,143.3,-14.31,81,8,8.97
161,Asbe Teferi,ET,2022-02-12 19:56:25,9.0833,40.8667,61.41,56,27,5.75
162,Utraula,IN,2022-02-12 19:56:25,27.3167,82.4167,51.87,70,0,4.99
163,Cherskiy,RU,2022-02-12 19:56:25,68.75,161.3,-20.69,98,100,10.22
164,Hasaki,JP,2022-02-12 19:56:26,35.7333,140.8333,28.8,62,64,5.14
165,College,US,2022-02-12 19:56:26,64.8569,-147.8028,-5.78,76,40,3.44
166,Pevek,RU,2022-02-12 19:56:26,69.7008,170.3133,-23.04,98,100,9.44
167,Ribeira Grande,PT,2022-02-12 19:56:26,38.5167,-28.7,63.0,77,40,19.57
168,Tura,IN,2022-02-12 19:56:27,25.5198,90.2201,54.79,75,0,3.98
169,Lorengau,PG,2022-02-12 19:56:27,-2.0226,147.2712,80.42,77,100,2.68
170,Astoria,US,2022-02-12 19:54:56,46.1879,-123.8313,59.86,52,0,11.99
171,Nome,US,2022-02-12 19:53:12,64.5011,-165.4064,-10.48,86,100,5.41
172,Saint-Philippe,RE,2022-02-12 19:56:27,-21.3585,55.7679,78.35,84,28,11.12
173,Kamaishi,JP,2022-02-12 19:56:28,39.2667,141.8833,32.83,65,60,5.95
174,Madera,US,2022-02-12 19:56:01,37.1666,-119.8343,83.52,24,57,3.51
175,Bambanglipuro,ID,2022-02-12 19:53:20,-7.95,110.2833,62.6,88,99,4.09
176,Tautira,PF,2022-02-12 19:56:25,-17.7333,-149.15,87.82,74,92,15.68
177,Rio Gallegos,AR,2022-02-12 19:51:35,-51.6226,-69.2181,69.85,21,40,33.38
178,Fairbanks,US,2022-02-12 19:56:28,64.8378,-147.7164,-5.76,75,40,3.44
179,Qasigiannguit,GL,2022-02-12 19:56:28,68.8193,-51.1922,14.05,87,100,12.97
180,Hilo,US,2022-02-12 19:56:02,19.7297,-155.09,77.11,71,0,5.99
181,Naustdal,NO,2022-02-12 19:56:29,61.509,5.7168,42.66,96,100,5.57
182,Brae,GB,2022-02-12 19:54:52,60.3964,-1.353,46.31,88,93,23.42
