City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Upernavik,GL,72.7868,-56.1549,-2.51,89,100,15.46,overcast clouds
110,Punta Arenas,CL,-53.15,-70.9167,55.51,76,0,20.71,clear sky
111,Castro,BR,-24.7911,-50.0119,56.89,99,46,2.53,scattered clouds
112,Leningradskiy,RU,69.3833,178.4167,-11.58,96,99,4.61,overcast clouds
113,Blois,FR,47.5833,1.3333,39.11,92,100,7.99,overcast clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,0,4.61,clear sky
115,Bluff,NZ,-46.6,168.3333,53.8,79,100,10.54,overcast clouds
116,Pisco,PE,-13.7,-76.2167,68.05,77,0,5.75,clear sky
117,Alice Springs,AU,-23.7,133.8833,96.22,43,0,4.61,clear sky
118,Pitimbu,BR,-7.4706,-34.8086,79.39,78,13,7.54,few clouds
119,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,25.32,light snow
120,Saldanha,ZA,-33.0117,17.9442,66.25,78,0,16.35,clear sky
121,Sangar,RU,63.9242,127.4739,-19.93,98,99,1.54,overcast clouds
122,East London,ZA,-33.0153,27.9116,77.94,88,75,14.97,broken clouds
123,Acaponeta,MX,22.4964,-105.3594,63.7,42,100,4.05,overcast clouds
124,Zhezkazgan,KZ,47.8043,67.7144,30.18,86,100,26.84,light snow
125,Kaeo,NZ,-35.1,173.7833,68.32,70,0,10.13,clear sky
126,Norman Wells,CA,65.282,-126.8329,-16.56,69,75,6.91,light snow
127,Mehamn,NO,71.0357,27.8492,19.27,78,41,11.01,scattered clouds
128,Khatanga,RU,71.9667,102.5,-18.06,95,100,4.74,overcast clouds
129,Atuona,PF,-9.8,-139.0333,78.03,78,17,14.81,light rain
130,Lanxi,CN,29.2195,119.477,44.8,95,100,3.67,moderate rain
131,Atikokan,CA,48.7555,-91.6216,-25.83,100,26,3.11,scattered clouds
132,Mahebourg,MU,-20.4081,57.7,86.29,74,40,14.97,scattered clouds
133,Vesele,UA,47.0148,34.915,32.95,66,6,5.68,clear sky
134,Kaseda,JP,31.4167,130.3167,60.03,79,100,12.82,overcast clouds
135,Ormara,PK,25.2088,64.6357,72.16,56,0,12.33,clear sky
136,Labuhan,ID,-6.8844,112.2051,84.15,66,98,10.22,overcast clouds
137,Akyab,MM,20.15,92.9,75.74,41,92,9.91,overcast clouds
138,Geraldton,AU,-28.7667,114.6,88.21,42,1,13.8,clear sky
139,Puerto Del Rosario,ES,28.5004,-13.8627,60.55,72,20,10.36,few clouds
140,Kodiak,US,57.79,-152.4072,33.31,86,0,3.44,clear sky
141,Collie,AU,-33.3667,116.15,91.6,23,0,4.76,clear sky
142,Sarny,UA,51.338,26.6019,28.42,74,54,8.93,broken clouds
143,Souillac,MU,-20.5167,57.5167,86.38,74,40,14.97,scattered clouds
144,Narsaq,GL,60.9167,-46.05,28.62,95,100,4.74,overcast clouds
145,Esterhazy,CA,50.65,-102.0843,-13.95,89,37,6.73,scattered clouds
146,Zunyi,CN,27.6867,106.9072,44.42,77,95,2.19,overcast clouds
147,Severomuysk,RU,56.1481,113.4267,-12.98,86,30,4.21,scattered clouds
148,Longyan,CN,25.1072,117.0225,55.92,97,100,3.42,light rain
149,Mirzapur,IN,25.15,82.5833,73.36,24,0,6.62,clear sky
150,Vila Velha,BR,-20.3297,-40.2925,73.94,97,40,3.44,scattered clouds
151,Nanortalik,GL,60.1432,-45.2371,26.02,87,100,7.63,overcast clouds
152,Lavrentiya,RU,65.5833,-171.0,-15.39,93,7,7.11,clear sky
153,Butaritari,KI,3.0707,172.7902,82.47,76,76,13.78,light rain
154,Mutuipe,BR,-13.2286,-39.5047,70.43,98,100,1.39,overcast clouds
155,Constitucion,CL,-35.3333,-72.4167,57.79,95,23,7.63,few clouds
156,Tasiilaq,GL,65.6145,-37.6368,10.56,65,100,5.26,overcast clouds
157,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,75,14.03,broken clouds
158,Myanaung,MM,18.2833,95.3167,90.55,14,25,8.66,scattered clouds
159,Simplicio Mendes,BR,-7.8539,-41.9103,69.55,96,42,1.83,scattered clouds
160,Hami,CN,42.8,93.45,31.98,47,98,2.21,overcast clouds
161,Grindavik,IS,63.8424,-22.4338,24.75,74,100,2.3,overcast clouds
162,Richards Bay,ZA,-28.783,32.0377,82.26,55,0,13.53,clear sky
163,North Bend,US,43.4065,-124.2243,48.85,93,0,4.61,clear sky
164,Margate,GB,51.3813,1.3862,45.3,82,100,8.01,overcast clouds
165,Nikolskoye,RU,59.7035,30.7861,35.87,94,100,9.4,snow
166,Kudahuvadhoo,MV,2.6708,72.8944,80.96,76,100,7.36,overcast clouds
167,Khandyga,RU,62.6667,135.6,-26.64,97,55,0.89,broken clouds
168,Nome,US,64.5011,-165.4064,-11.13,70,0,3.44,clear sky
169,Kamennomostskiy,RU,44.2983,40.1856,33.3,74,99,3.67,overcast clouds
170,Pacifica,US,37.6138,-122.4869,65.59,65,0,3.0,clear sky
171,Soledade,BR,-28.8183,-52.5103,62.46,92,94,0.43,overcast clouds
172,Hithadhoo,MV,-0.6,73.0833,81.73,72,64,11.72,broken clouds
173,Alenquer,BR,-1.9417,-54.7383,75.54,93,100,2.86,overcast clouds
174,Altamont,US,42.2068,-121.7372,43.79,62,0,3.44,clear sky
175,Yueyang,CN,29.3333,113.0919,49.17,63,94,5.35,overcast clouds
176,Bermeo,ES,43.4209,-2.7215,56.08,79,89,15.01,overcast clouds
177,Kushima,JP,31.4583,131.2333,60.31,81,100,7.36,overcast clouds
178,Distraccion,CO,10.8969,-72.8861,73.2,86,83,3.83,broken clouds
179,Hambantota,LK,6.1241,81.1185,88.14,74,75,10.36,heavy intensity rain
180,Samarai,PG,-10.6167,150.6667,82.54,69,27,9.22,scattered clouds
181,Klaksvik,FO,62.2266,-6.589,36.52,97,100,40.96,overcast clouds
